enabled,match_kind,score,tambur_post_id,wp_post_id,tambur_title,wp_slug,wp_legacy_url,legacy_map_post_id,notes
1,exact_title,1.00,9436,28665,Байопик по-древнерусски: каким получился сериал «Князь Андрей»,knjaz-andrei,https://posletitrov.ru/articles/knjaz-andrei/,,
1,exact_title,1.00,11261,28755,"«Бухта вдов»: 7 теорий о сериале, которые не дают спать",buhta-vdov,https://posletitrov.ru/articles/buhta-vdov/,,
1,exact_title,1.00,9959,28707,«Вершина»: Шарлиз Терон выживает в Австралии,vershina,https://posletitrov.ru/articles/vershina/,,tambur_dup_ids:9958
1,exact_title,1.00,6081,28429,«Встать на ноги»: право на жизнь без жалости,vstat-na-nogi,https://posletitrov.ru/articles/vstat-na-nogi/,,
1,exact_title,1.00,6819,28510,"Добро пожаловать обратно в Хогвартс: всё, что нужно знать о трейлере сериала «Гарри Поттер» от HBO",vse-chto-nuzhno-znat-o-treilere-seriala-garri-potter-ot-hbo,https://posletitrov.ru/articles/vse-chto-nuzhno-znat-o-treilere-seriala-garri-potter-ot-hbo/,,
1,exact_title,1.00,8340,28634,«Емельяненко»: каким получился документальный фильм Валерии Гайи Германики об одиозном бойце,emeljanenko,https://posletitrov.ru/articles/emeljanenko/,,
1,exact_title,1.00,7949,28596,Зендея и Роберт Паттинсон влюбляются и скандалят: что нужно знать о главной инди-комедии апреля «Вот это драма!,zendeja-i-robert-pattinson-vljubljajutsja-i-skandaljat-chto-nuzhno-znat-o-glavnoj-indi-komedii-aprelja-vot-jeto-drama,https://posletitrov.ru/articles/zendeja-i-robert-pattinson-vljubljajutsja-i-skandaljat-chto-nuzhno-znat-o-glavnoj-indi-komedii-aprelja-vot-jeto-drama/,,
1,exact_title,1.00,7478,28557,Как «Космическая собака Лида» обманула зрителей,kak-kosmicheskaja-sobaka-lida-obmanula-zritelej,https://posletitrov.ru/articles/kak-kosmicheskaja-sobaka-lida-obmanula-zritelej/,,
1,exact_title,1.00,11588,28791,"«Клейман всегда удивляет»: Андрей Натоцинский о Науме Клеймане, современных критиках и последней работе Марлена Хуциева",kleiman-vsegda-udivljaet-andrei-natocinskii-o-naume-kleimane-sovremennyh-kritikah-i-poslednei-rabote-marlena-hucieva,https://posletitrov.ru/articles/kleiman-vsegda-udivljaet-andrei-natocinskii-o-naume-kleimane-sovremennyh-kritikah-i-poslednei-rabote-marlena-hucieva/,,
1,exact_title,1.00,5330,28275,"Красиво и беспощадно: «На льду» — сериал, который показывает закулисье фигурного катания",na-ldu,https://posletitrov.ru/articles/na-ldu/,,
1,exact_title,1.00,4792,28236,"Любовь, измена и чай с ядом: почему «Кто-то должен умереть» не оправдал своей идеи",kto-to-dolzhen-umeret,https://posletitrov.ru/articles/kto-to-dolzhen-umeret/,,
1,exact_title,1.00,7076,28537,"Мистика, искушения и духовное перерождение: рецензия на фильм «Цинга»",cinga,https://posletitrov.ru/articles/cinga/,,
1,exact_title,1.00,9393,28693,«Нормал»: Боб Оденкёрк снова против всех,normal,https://posletitrov.ru/articles/normal/,,tambur_dup_ids:9392
1,exact_title,1.00,5128,28261,"«Под солончаком»: шторм, болото и Келли Райлли — британский нуар, который затягивает с первых кадров",pod-solonchakom,https://posletitrov.ru/articles/pod-solonchakom/,,
1,exact_title,1.00,7897,28623,Последняя битва Бутчера и Хоумлендера: чего ждать от финала сериала «Пацаны»,chego-zhdat-ot-finala-seriala-pacany,https://posletitrov.ru/articles/chego-zhdat-ot-finala-seriala-pacany/,,
1,exact_title,1.00,4759,28213,«Посторонний»: Франсуа Озон идёт в суд,postoronnii-fransua-ozon,https://posletitrov.ru/articles/postoronnii-fransua-ozon/,,
1,exact_title,1.00,6041,28412,"«Прислушиваться к себе»: Карина Разумовская о фильме «К себе нежно», страхах и поиске сил",karina-razumovskaja-o-semkah-v-filme-k-sebe-nezhno,https://posletitrov.ru/articles/karina-razumovskaja-o-semkah-v-filme-k-sebe-nezhno/,,
1,exact_title,1.00,7925,28608,«Проект «Конец света»: Райан Гослинг спасает Землю и дружит с инопланетянами,proekt-konec-sveta,https://posletitrov.ru/articles/proekt-konec-sveta/,,
1,exact_title,1.00,15391,28828,Пятый лишний: «Другая сестра Беннет» как отрада для глаз,the-other-bennet-sister,https://posletitrov.ru/articles/the-other-bennet-sister/,,
1,exact_title,1.00,6476,28464,"«Рыцарь Семи Королевств», 2-й сезон: дата выхода, актёры и всё, что известно о «Присяжном рыцаре»",rycar-semi-korolevstv-2-j-sezon-data-vyhoda-aktjory-i-vsjo-chto-izvestno-o-prisjazhnom-rycare,https://posletitrov.ru/articles/rycar-semi-korolevstv-2-j-sezon-data-vyhoda-aktjory-i-vsjo-chto-izvestno-o-prisjazhnom-rycare/,,
1,exact_title,1.00,10036,28720,Семейная тайна на три десятилетия: рецензия на сериал «Время счастливых»,vremja-schastlivyh,https://posletitrov.ru/articles/vremja-schastlivyh/,,
1,exact_title,1.00,9423,28680,Хороший мальчик – друг человека: рецензия на фильм Яна Комасы «На цепи»,na-cepi,https://posletitrov.ru/articles/na-cepi/,,
1,exact_title,1.00,7039,28524,«Частная жизнь»: в случае убийства набирайте Джоди Фостер,chastnaja-zhizn,https://posletitrov.ru/articles/chastnaja-zhizn/,,
1,exact_title,1.00,5432,28291,Что посмотреть после «Постороннего» Озона: 8 фильмов об абсурде и отчуждении,chto-posmotret-posle-postoronnego-ozona-8-filmov-ob-absurde-i-otchuzhdenii,https://posletitrov.ru/articles/chto-posmotret-posle-postoronnego-ozona-8-filmov-ob-absurde-i-otchuzhdenii/,,
1,exact_title,1.00,6055,28397,"«Это заразно»: дневник рецензента, которого не стало после 11 эпизодов сериала «Красота»",krasota,https://posletitrov.ru/articles/krasota/,,
1,exact_title,1.00,7607,28569,«Я не хочу работать актёром постоянно»: Кристиан Мортенсен о роли в фильме «Тамерлан»,kristian-mortensen,https://posletitrov.ru/articles/kristian-mortensen/,,
1,fuzzy_title,0.979,9482,28470,🦖Вселенная Монстров: полный гид по MonsterVerse — от «Годзиллы» до «Монарха» 🦍,vselennaja-monstrov-polnyj-gid-po-monsterverse-ot-godzilly-do-monarha,https://posletitrov.ru/articles/vselennaja-monstrov-polnyj-gid-po-monsterverse-ot-godzilly-do-monarha/,,
